Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1.InitializeComponent                                     1           228           228           228           228             0             0             0             0
API精灵.AboutForm.Dispose                                             1            92            92            92            92             0             0             0             0
API精灵.Form1.mykeyword                                               1            45            45            45            45           281           281           281           281
API精灵.Form1..ctor                                                   1            22            22           250           250             1             1             1             1
API精灵.Form1.Dispose                                                 1            21            21            21            21             0             0             0             0
API精灵.Form1.search_comp                                             1             4             4             6             6             1             1             1             1
API精灵.AboutForm..ctor                                               1             2             2             3             3             1             1             1             1
API精灵.AboutForm.button1_Click                                       1             2             2            94            94             1             1             1             1
API精灵.AboutForm.InitializeComponent                                 1             1             1             1             1             0             0             0             0
API精灵.AboutForm.AboutForm_Load                                      1             1             1             1             1             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleting                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowChanging             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.add_winapiRowDeleted                 0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleted              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.AddwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.remove_winapiRowDeleting             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.FindById                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetRowType                           0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewRowFromBuilder                    0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanged                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleted                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowChanging                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.NewwinapiRow                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.GetEnumerator                        0             0             0             0             0             0             0             0             0
